COUNTY,ST_ABBR,avg(median_sale_price_yoy),avg(homes_sold_mom),avg(median_sale_price_mom),avg(homes_sold_yoy),avgHomesSoldTotal,avgMedianSalesTotal,avgHomesSoldTotalScaled,avgMedianSalesTotalScaled
Childress County,TX,0.993824584,0.258333333,0.57510638,0.22,0.239166667,0.784465482,0.057962001,8.86E-04
Mahnomen County,MN,0.992474676,0.151234568,0.559932403,0.361728395,0.256481481,0.77620354,0.059319748,8.82E-04
Nevada County,AR,0.989274638,0.354166667,0.529023506,0.25,0.302083333,0.759149072,0.062895632,8.72E-04
Jefferson County,OK,0.986518774,0.470987654,0.198363108,0.443209877,0.457098765,0.592440941,0.075051219,7.79E-04
Claiborne County,MS,0.981197636,0.115384615,0.777019024,0.096153846,0.105769231,0.87910833,0.047501596,9.39E-04
Shackelford County,TX,0.976967256,0.157777778,0.090438874,0.537777778,0.347777778,0.533703065,0.066478777,7.46E-04
Castro County,TX,0.962656956,0.358571429,0.816550647,0.423809524,0.391190476,0.889603802,0.069882999,9.45E-04
Prairie County,AR,0.96132336,0.342857143,0.402116005,0.47179089,0.407324017,0.681719683,0.071148116,8.29E-04
Twiggs County,GA,0.959484196,0.192241379,0.547293229,0.213505747,0.202873563,0.753388713,0.055116065,8.69E-04
Lee County,AR,0.955165133,-0.12962963,0.610039356,-0.101851852,-0.115740741,0.782602245,0.030131818,8.85E-04
Miner County,SD,0.951529475,-0.041666667,0.909504689,-0.005208333,-0.0234375,0.930517082,0.037369807,9.68E-04
Wayne County,IN,0.948706656,0.214740157,0.325741868,0.47375929,0.344249723,0.637224262,0.066202124,8.04E-04
Elk County,KS,0.946440435,0.20952381,0.301829578,0.1,0.154761905,0.624135007,0.051343373,7.97E-04
Dooly County,GA,0.943720689,0.063367347,0.495869144,0.44952381,0.256445578,0.719794917,0.059316932,8.50E-04
Grant County,OK,0.943617119,0.166666667,1.39710512,0.170588235,0.168627451,1.170361119,0.052430645,0.001101558
Clay County,AL,0.93219341,0.343418418,0.340760358,0.558118833,0.450768626,0.636476884,0.074554839,8.04E-04
San Saba County,TX,0.930549188,0.258285714,0.54119199,1.074666667,0.66647619,0.735870589,0.09146962,8.59E-04
Buchanan County,IA,0.929388172,0.122293023,0.058711081,1.058793007,0.590543015,0.494049626,0.085515294,7.24E-04
Decatur County,KS,0.922463662,0.666666667,0.241758437,0.683333333,0.675,0.582111049,0.092138017,7.73E-04
Lowndes County,AL,0.921282289,0.320467585,0.407876577,0.371156053,0.345811819,0.664579433,0.066324616,8.19E-04
Martin County,KY,0.914387187,0.844322344,0.428614643,0.747802198,0.796062271,0.671500915,0.101631156,8.23E-04
Fergus County,MT,0.913338469,0.527777778,0.759699511,0.297222222,0.4125,0.83651899,0.071553992,9.15E-04
Pike County,MS,0.913217919,0.289894209,1.134990108,2.872336987,1.581115598,1.024104014,0.163191374,0.00101992
Harney County,OR,0.912728151,-0.0625,0.637043384,0,-0.03125,0.774885767,0.036757188,8.81E-04
Ellis County,OK,0.909889001,0.723529412,0.604904648,0.52254902,0.623039216,0.757396825,0.088063495,8.71E-04
Knox County,NE,0.906801998,0.156944444,0.171909563,0.164583333,0.160763889,0.53935578,0.051814021,7.49E-04
Newton County,TX,0.902158715,0.528947368,0.384251922,0.678947368,0.603947368,0.643205319,0.086566401,8.07E-04
Brooks County,TX,0.897696148,0.280701754,1.628966038,-1.17E-17,0.140350877,1.263331093,0.050213328,0.001153452
Jefferson County,PA,0.894169655,0.186686666,0.679684803,0.503382083,0.345034375,0.786927229,0.066263652,8.88E-04
Van Buren County,TN,0.893228794,0.272279373,0.579465864,0.416130775,0.344205074,0.736347329,0.066198623,8.59E-04
Elliott County,KY,0.891734543,0.468939394,0.107805588,0.302272727,0.385606061,0.499770065,0.069445095,7.27E-04
Pope County,IL,0.87923479,0.374583333,0.519373547,0.463333333,0.418958333,0.699304169,0.072060424,8.39E-04
Sully County,SD,0.874217963,0.090909091,0.555770378,0.045454545,0.068181818,0.714994171,0.044554167,8.47E-04
Sumter County,GA,0.873974098,0.284417989,0.751063746,0.539259259,0.411838624,0.812518922,0.07150213,9.02E-04
